Date,Black,White,ResultCode,GameKey,BlackFirstAppearance,WhiteFirstAppearance,BlackStartRating,WhiteStartRating,Gb_Before,Gw_Before,Kb,Kw,Rb_Before,Rw_Before,ExpectedBlack,ExpectedWhite,Rb_After,Rw_After,Gb_After,Gw_After
2023-01-03,Choi Jeong,Kim Chaeyoung,B+R,2023-01-03|Choi Jeong|Kim Chaeyoung|B+R,FALSE,TRUE,3000,3000,1,0,40,40,2980,3000,0.4712494361077314,0.5287505638922686,3001.1500225556906,2978.8499774443094,2,1
2023-01-03,Gao Yun,Li Kuihan,W+R,2023-01-03|Gao Yun|Li Kuihan|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-03,Huang Yancheng,Chen Shaoquan,B+R,2023-01-03|Huang Yancheng|Chen Shaoquan|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-03,Lin Yuxiang,Ding Shaojie,B+R,2023-01-03|Lin Yuxiang|Ding Shaojie|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-03,Nakamura Sumire,Kim Eunji,W+R,2023-01-03|Nakamura Sumire|Kim Eunji|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-03,Oh Yujin,Kim Myounghoon,W+R,2023-01-03|Oh Yujin|Kim Myounghoon|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-03,Peng Jinghua,Lin Shimin,W+R,2023-01-03|Peng Jinghua|Lin Shimin|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-03,Peng Zunde,Su Shengfang,W+R,2023-01-03|Peng Zunde|Su Shengfang|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-03,Shen Yien,Zhang Tingwei,B+3.5,2023-01-03|Shen Yien|Zhang Tingwei|B+3.5,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-03,Shi Jingyao,Zhou Yinnan,B+R,2023-01-03|Shi Jingyao|Zhou Yinnan|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-03,Wu Yanchen,Chen Weiting,W+R,2023-01-03|Wu Yanchen|Chen Weiting|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-03,Zeng Pinjie,Xia Daming,B+1.5,2023-01-03|Zeng Pinjie|Xia Daming|B+1.5,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-03,Zhan Yidian,Zheng Yuhao,B+R,2023-01-03|Zhan Yidian|Zheng Yuhao|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-03,Zhou Keping,Zhuang Chengjun,B+R,2023-01-03|Zhou Keping|Zhuang Chengjun|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-04,Choi Jeong,Park Sangjin,B+R,2023-01-04|Choi Jeong|Park Sangjin|B+R,FALSE,TRUE,3000,3000,2,0,40,40,3001.1500225556906,3000,0.5016550094515791,0.49834499054842085,3021.0838221776276,2980.066200378063,3,1
2023-01-04,Hong Mujin,Kim Jiseok,B+R,2023-01-04|Hong Mujin|Kim Jiseok|B+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,3038.8499774443094,2981.1500225556906,2,1
2023-01-04,Kim Eunji,Nakamura Sumire,B+R,2023-01-04|Kim Eunji|Nakamura Sumire|B+R,FALSE,FALSE,3000,3000,1,1,40,40,3020,2980,0.5573116337622928,0.44268836623770724,3037.7075346495085,2962.2924653504915,2,2
2023-01-04,Lee Wonyoung,Shin Minjun,W+R,2023-01-04|Lee Wonyoung|Shin Minjun|W+R,TRUE,FALSE,3000,3000,0,2,40,40,3000,3038.8499774443094,0.44432225126287966,0.5556777487371203,2982.2271099494847,3056.6228674948247,1,3
2023-01-04,Lu Yiquan,Huang Wei,B+R,2023-01-04|Lu Yiquan|Huang Wei|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-04,Seol Hyunjun,Yun Junsang,B+T,2023-01-04|Seol Hyunjun|Yun Junsang|B+T,TRUE,FALSE,3000,3000,0,1,40,40,3000,2978.915971499423,0.5303051642628308,0.4696948357371692,3018.7877934294866,2960.1281780699364,1,2
2023-01-05,Chen Pinhua,Li Jiaxin,W+R,2023-01-05|Chen Pinhua|Li Jiaxin|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-05,Dai Jiashen,Chen Bosong,W+R,2023-01-05|Dai Jiashen|Chen Bosong|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-05,Kim Jinhwi,Han Sangcho,W+9.5,2023-01-05|Kim Jinhwi|Han Sangcho|W+9.5,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-05,Lee Jihyun (m),Park Yeonghun,B+R,2023-01-05|Lee Jihyun (m)|Park Yeonghun|B+R,FALSE,TRUE,3000,3000,1,0,40,40,2980,3000,0.4712494361077314,0.5287505638922686,3001.1500225556906,2978.8499774443094,2,1
2023-01-05,Li Kuihan,Dong Youtang,W+R,2023-01-05|Li Kuihan|Dong Youtang|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-05,Lin Jiehan,Bai Xinhui,B+R,2023-01-05|Lin Jiehan|Bai Xinhui|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-05,Lin Yiting,Chen Yida,B+R,2023-01-05|Lin Yiting|Chen Yida|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-05,Lin Yuting,Zhang Kaixin,B+R,2023-01-05|Lin Yuting|Zhang Kaixin|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-05,Liu Jianchang,Zheng Yuhao,B+R,2023-01-05|Liu Jianchang|Zheng Yuhao|B+R,FALSE,FALSE,3000,3000,1,1,40,40,2980,2980,0.5,0.5,3000,2960,2,2
2023-01-05,Park Junghwan,Lee Yeonggu,W+T,2023-01-05|Park Junghwan|Lee Yeonggu|W+T,TRUE,FALSE,3000,3000,0,1,40,40,3000,3020,0.4712494361077314,0.5287505638922686,2981.1500225556906,3038.8499774443094,1,2
2023-01-05,Peng Jinghua,Liu Yifang,B+R,2023-01-05|Peng Jinghua|Liu Yifang|B+R,FALSE,TRUE,3000,3000,1,0,40,40,2980,3000,0.4712494361077314,0.5287505638922686,3001.1500225556906,2978.8499774443094,2,1
2023-01-05,Shen Yien,Ding Shaojie,B+6.5,2023-01-05|Shen Yien|Ding Shaojie|B+6.5,FALSE,FALSE,3000,3000,1,1,40,40,3020,2980,0.5573116337622928,0.44268836623770724,3037.7075346495085,2962.2924653504915,2,2
2023-01-05,Song Jihoon,Park Jonghoon,B+R,2023-01-05|Song Jihoon|Park Jonghoon|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-05,Wu Yanchen,Cai Wenhe,B+R,2023-01-05|Wu Yanchen|Cai Wenhe|B+R,FALSE,TRUE,3000,3000,1,0,40,40,2980,3000,0.4712494361077314,0.5287505638922686,3001.1500225556906,2978.8499774443094,2,1
2023-01-05,Xie Chenghan,Huang Wei,W+R,2023-01-05|Xie Chenghan|Huang Wei|W+R,TRUE,FALSE,3000,3000,0,1,40,40,3000,2980,0.5287505638922686,0.4712494361077314,2978.8499774443094,3001.1500225556906,1,2
2023-01-05,Yang Zhide,Peng Zunde,W+R,2023-01-05|Yang Zhide|Peng Zunde|W+R,TRUE,FALSE,3000,3000,0,1,40,40,3000,2980,0.5287505638922686,0.4712494361077314,2978.8499774443094,3001.1500225556906,1,2
2023-01-05,Yu Chengrui,Wang Xiangjie,W+R,2023-01-05|Yu Chengrui|Wang Xiangjie|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-05,Zhang Huaiyi,Huang Jiayin,W+R,2023-01-05|Zhang Huaiyi|Huang Jiayin|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-05,Zhang Jiahuan,Huang Youteng,B+R,2023-01-05|Zhang Jiahuan|Huang Youteng|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-05,Zhang Tingwei,Lin Boyu,B+2.5,2023-01-05|Zhang Tingwei|Lin Boyu|B+2.5,FALSE,TRUE,3000,3000,1,0,40,40,2980,3000,0.4712494361077314,0.5287505638922686,3001.1500225556906,2978.8499774443094,2,1
2023-01-06,Bai Xinhui,Xu Yuqi,W+R,2023-01-06|Bai Xinhui|Xu Yuqi|W+R,FALSE,TRUE,3000,3000,1,0,40,40,2980,3000,0.4712494361077314,0.5287505638922686,2961.1500225556906,3018.8499774443094,2,1
2023-01-06,Cai Chengwei,Su Shengfang,B+R,2023-01-06|Cai Chengwei|Su Shengfang|B+R,TRUE,FALSE,3000,3000,0,1,40,40,3000,3020,0.4712494361077314,0.5287505638922686,3021.1500225556906,2998.8499774443094,1,2
2023-01-06,Chen Weiting,Li Jiaxin,B+R,2023-01-06|Chen Weiting|Li Jiaxin|B+R,FALSE,FALSE,3000,3000,1,1,40,40,3020,3021.1500225556906,0.49834499054842096,0.501655009451579,3040.066200378063,3001.0838221776276,2,2
2023-01-06,Fujisawa Rina,Anzai Nobuaki,B+R,2023-01-06|Fujisawa Rina|Anzai Nobuaki|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-06,Geum Jiwoo,Han Taehee,W+R,2023-01-06|Geum Jiwoo|Han Taehee|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-06,Hirose Yuichi,Kwon Hyojin (m),B+R,2023-01-06|Hirose Yuichi|Kwon Hyojin (m)|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-06,Hong Seongji,Sakai Yuki,W+R,2023-01-06|Hong Seongji|Sakai Yuki|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-06,Huang Jiayin,Wang Zhihong,W+R,2023-01-06|Huang Jiayin|Wang Zhihong|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-06,Huang Xiupu,Huang Shiyuan,W+R,2023-01-06|Huang Xiupu|Huang Shiyuan|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-06,Huang Yancheng,You Haoyu,B+R,2023-01-06|Huang Yancheng|You Haoyu|B+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,3038.8499774443094,2981.1500225556906,2,1
2023-01-06,Ichiriki Ryo,Fujita Akihiko,B+R,2023-01-06|Ichiriki Ryo|Fujita Akihiko|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-06,Kim Chaeyoung,Choi Jeong,W+R,2023-01-06|Kim Chaeyoung|Choi Jeong|W+R,FALSE,FALSE,3000,3000,1,3,40,40,2978.8499774443094,3021.0838221776276,0.4395182223575719,0.5604817776424281,2961.2692485500065,3038.6645510719304,2,4
2023-01-06,Kim Junghyun,Fukuoka Kotaro,B+0.5,2023-01-06|Kim Junghyun|Fukuoka Kotaro|B+0.5,FALSE,TRUE,3000,3000,1,0,40,40,2978.8499774443094,3000,0.4696002126422057,0.5303997873577944,3000.065968938621,2978.7840085056882,2,1
2023-01-06,Kim Junghyun,Seki Kotaro,B+R,2023-01-06|Kim Junghyun|Seki Kotaro|B+R,FALSE,TRUE,3000,3000,2,0,40,40,3000.065968938621,3000,0.5000949369330276,0.49990506306697235,3020.0621714613,2980.0037974773213,3,1
2023-01-06,Koike Yoshihiro,Byun Sangil,W+R,2023-01-06|Koike Yoshihiro|Byun Sangil|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-06,Li Wei,Lu Yuhua,B+R,2023-01-06|Li Wei|Lu Yuhua|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-06,Lin Boyu,Xu Jingen,W+R,2023-01-06|Lin Boyu|Xu Jingen|W+R,FALSE,TRUE,3000,3000,1,0,40,40,2978.8499774443094,3000,0.4696002126422057,0.5303997873577944,2960.065968938621,3018.7840085056882,2,1
2023-01-06,Lin Hanzhang,Chen Xi,W+R,2023-01-06|Lin Hanzhang|Chen Xi|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-06,Lin Shimin,Dai Jiashen,B+R,2023-01-06|Lin Shimin|Dai Jiashen|B+R,FALSE,FALSE,3000,3000,1,1,40,40,3020,2980,0.5573116337622928,0.44268836623770724,3037.7075346495085,2962.2924653504915,2,2
2023-01-06,Lin Yiting,Yang Zixuan,W+R,2023-01-06|Lin Yiting|Yang Zixuan|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-06,Lin Yuting,Lin Lixiang,W+R,2023-01-06|Lin Yuting|Lin Lixiang|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-06,Lin Yuxiang,Xie Chenghan,B+R,2023-01-06|Lin Yuxiang|Xie Chenghan|B+R,FALSE,FALSE,3000,3000,1,1,40,40,3020,2978.8499774443094,0.5589442794487851,0.4410557205512149,3037.6422288220488,2961.2077486222606,2,2
2023-01-06,Niu Shite,Chen Pinhua,B+R,2023-01-06|Niu Shite|Chen Pinhua|B+R,TRUE,FALSE,3000,3000,0,2,40,40,3000,2998.8499774443094,0.5016550094515791,0.49834499054842085,3019.933799621937,2978.9161778223724,1,3
2023-01-06,Shen Yien,Liu Yifang,B+R,2023-01-06|Shen Yien|Liu Yifang|B+R,FALSE,FALSE,3000,3000,2,1,40,40,3037.7075346495085,2978.8499774443094,0.5839017530281548,0.41609824697184516,3054.351464528382,2962.2060475654357,3,2
2023-01-06,Shi Jingyao,Lin Yancheng,W+R,2023-01-06|Shi Jingyao|Lin Yancheng|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-06,Shibano Toramaru,Hsu Chiayuan,W+R,2023-01-06|Shibano Toramaru|Hsu Chiayuan|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-06,Sun Weixun,Yang Bowei,B+R,2023-01-06|Sun Weixun|Yang Bowei|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-06,Suzuki Shinji,Kono Rin,B+R,2023-01-06|Suzuki Shinji|Kono Rin|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-06,Yoda Ozora,Matsubara Taisei,B+R,2023-01-06|Yoda Ozora|Matsubara Taisei|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-06,Yu Lijun,Lin Jiehan,B+R,2023-01-06|Yu Lijun|Lin Jiehan|B+R,TRUE,FALSE,3000,3000,0,1,40,40,3000,3020,0.4712494361077314,0.5287505638922686,3021.1500225556906,2998.8499774443094,1,2
2023-01-06,Zeng Pinjie,Lin Xinwei,W+R,2023-01-06|Zeng Pinjie|Lin Xinwei|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-06,Zhan Yidian,Wang Xiangjie,B+R,2023-01-06|Zhan Yidian|Wang Xiangjie|B+R,FALSE,FALSE,3000,3000,1,1,40,40,3020,3020,0.5,0.5,3040,3000,2,2
2023-01-06,Zhang Jiahuan,Chen Shoulian,W+R,2023-01-06|Zhang Jiahuan|Chen Shoulian|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-06,Zhang Zhehao,Li Kuihan,B+R,2023-01-06|Zhang Zhehao|Li Kuihan|B+R,TRUE,FALSE,3000,3000,0,2,40,40,3000,2998.8499774443094,0.5016550094515791,0.49834499054842085,3019.933799621937,2978.9161778223724,1,3
2023-01-06,Zhou Keping,Lin Shuyang,W+R,2023-01-06|Zhou Keping|Lin Shuyang|W+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,2998.8499774443094,3021.1500225556906,2,1
2023-01-07,Chen Pinhua,Huang Jiayin,W+6.5,2023-01-07|Chen Pinhua|Huang Jiayin|W+6.5,FALSE,FALSE,3000,3000,3,2,40,40,2978.9161778223724,2998.8499774443094,0.47134439215044366,0.5286556078495563,2960.0624021363546,3017.703753130327,4,3
2023-01-07,Chen Yida,Liu Yifang,B+R,2023-01-07|Chen Yida|Liu Yifang|B+R,FALSE,FALSE,3000,3000,1,2,40,40,2980,2962.2060475654357,0.5255851900444513,0.47441480995554874,2998.976592398222,2943.229455167214,2,3
2023-01-07,Choi Jaeyoung,Song Jihoon,B+R,2023-01-07|Choi Jaeyoung|Song Jihoon|B+R,TRUE,FALSE,3000,3000,0,1,40,40,3000,3020,0.4712494361077314,0.5287505638922686,3021.1500225556906,2998.8499774443094,1,2
2023-01-07,Choi Jeong,Kim Chaeyoung,B+R,2023-01-07|Choi Jeong|Kim Chaeyoung|B+R,FALSE,FALSE,3000,3000,4,2,40,40,3038.6645510719304,2961.2692485500065,0.6095743029121032,0.39042569708789676,3054.281578955446,2945.652220666491,5,3
2023-01-07,Ding Shaojie,Lin Boyu,W+0.5,2023-01-07|Ding Shaojie|Lin Boyu|W+0.5,FALSE,FALSE,3000,3000,2,2,40,40,2962.2924653504915,2960.065968938621,0.5032041420431107,0.4967958579568893,2942.164299668767,2980.1941346203457,3,3
2023-01-07,Huang Wei,Wu Yanchen,B+R,2023-01-07|Huang Wei|Wu Yanchen|B+R,FALSE,FALSE,3000,3000,2,2,40,40,3001.1500225556906,3001.1500225556906,0.5,0.5,3021.1500225556906,2981.1500225556906,3,3
2023-01-07,Lee Changseok,Ahn Kukhyun,W+R,2023-01-07|Lee Changseok|Ahn Kukhyun|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-07,Lee Yeonggu,An Sungjoon,W+12.5,2023-01-07|Lee Yeonggu|An Sungjoon|W+12.5,FALSE,FALSE,3000,3000,2,1,40,40,3038.8499774443094,2980,0.5838911519885243,0.41610884801147574,3015.4943313647686,3003.3556460795407,3,2
2023-01-07,Lin Yiting,Zhang Jiahuan,W+R,2023-01-07|Lin Yiting|Zhang Jiahuan|W+R,FALSE,FALSE,3000,3000,2,2,40,40,2998.8499774443094,2998.8499774443094,0.5,0.5,2978.8499774443094,3018.8499774443094,3,3
2023-01-07,Lin Yuting,Dong Youtang,W+1.5,2023-01-07|Lin Yuting|Dong Youtang|W+1.5,FALSE,FALSE,3000,3000,2,1,40,40,2998.8499774443094,3021.1500225556906,0.46795165284811324,0.5320483471518868,2980.131911330385,3039.868088669615,3,2
2023-01-07,Park Geunho,Lee Jihyun (m),W+T,2023-01-07|Park Geunho|Lee Jihyun (m)|W+T,TRUE,FALSE,3000,3000,0,2,40,40,3000,3001.1500225556906,0.49834499054842096,0.501655009451579,2980.066200378063,3021.0838221776276,1,3
2023-01-07,Park Minkyu,Lee Changho,W+R,2023-01-07|Park Minkyu|Lee Changho|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-07,Shen Yien,Bai Xinhui,B+R,2023-01-07|Shen Yien|Bai Xinhui|B+R,FALSE,FALSE,3000,3000,3,2,40,40,3054.351464528382,2961.1500225556906,0.6310003280302718,0.36899967196972816,3069.1114514071714,2946.3900356769013,4,3
2023-01-07,Xie Chenghan,Peng Zunde,W+R,2023-01-07|Xie Chenghan|Peng Zunde|W+R,FALSE,FALSE,3000,3000,2,2,40,40,2961.2077486222606,3001.1500225556906,0.44277035081242355,0.5572296491875764,2943.496934589764,3018.8608365881873,3,3
2023-01-07,Zhang Kaixin,Zheng Yuhao,B+11.5,2023-01-07|Zhang Kaixin|Zheng Yuhao|B+11.5,FALSE,FALSE,3000,3000,1,2,40,40,2980,2960,0.5287505638922686,0.4712494361077314,2998.8499774443094,2941.1500225556906,2,3
2023-01-08,Chen Qirui,Park Jonghoon,B+2.5,2023-01-08|Chen Qirui|Park Jonghoon|B+2.5,TRUE,FALSE,3000,3000,0,1,40,40,3000,2980,0.5287505638922686,0.4712494361077314,3018.8499774443094,2961.1500225556906,1,2
2023-01-08,Cho Hanseung,Hong Seongji,W+R,2023-01-08|Cho Hanseung|Hong Seongji|W+R,FALSE,FALSE,3000,3000,2,1,40,40,3001.1500225556906,2980,0.5303997873577944,0.46960021264220564,2979.934031061379,3001.2159914943118,3,2
2023-01-08,Kim Jinhwi,Lin Junyan,B+R,2023-01-08|Kim Jinhwi|Lin Junyan|B+R,FALSE,TRUE,3000,3000,1,0,40,40,2980,3000,0.4712494361077314,0.5287505638922686,3001.1500225556906,2978.8499774443094,2,1
2023-01-08,Lee Wonyoung,Han Sangcho,B+R,2023-01-08|Lee Wonyoung|Han Sangcho|B+R,FALSE,FALSE,3000,3000,1,1,40,40,2982.2271099494847,3020,0.4458536076289045,0.5541463923710954,3004.3929656443283,2997.8341443051563,2,2
2023-01-08,Lin Xinwei,Cai Chengwei,W+R,2023-01-08|Lin Xinwei|Cai Chengwei|W+R,FALSE,FALSE,3000,3000,1,1,40,40,3021.1500225556906,3021.1500225556906,0.5,0.5,3001.1500225556906,3041.1500225556906,2,2
2023-01-08,Park Junghwan,Xu Haohong,B+T,2023-01-08|Park Junghwan|Xu Haohong|B+T,FALSE,TRUE,3000,3000,1,0,40,40,2981.1500225556906,3000,0.4728992874855779,0.527100712514422,3002.2340510562676,2978.915971499423,2,1
2023-01-08,Rin Kanketsu,Yamashita Keigo,B+1.5,2023-01-08|Rin Kanketsu|Yamashita Keigo|B+1.5,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-08,Wang Yuanjun,Park Yeonghun,W+R,2023-01-08|Wang Yuanjun|Park Yeonghun|W+R,TRUE,FALSE,3000,3000,0,1,40,40,3000,2978.8499774443094,0.5303997873577944,0.46960021264220564,2978.7840085056882,3000.065968938621,1,2
2023-01-09,Adachi Toshimasa,Uchida Shuhei,B+R,2023-01-09|Adachi Toshimasa|Uchida Shuhei|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-09,Byun Sangil,Na Hyun,B+R,2023-01-09|Byun Sangil|Na Hyun|B+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,3038.8499774443094,2981.1500225556906,2,1
2023-01-09,Chen Qirui,Yu Lijun,W+R,2023-01-09|Chen Qirui|Yu Lijun|W+R,FALSE,FALSE,3000,3000,1,1,40,40,3018.8499774443094,3021.1500225556906,0.4966900173617567,0.5033099826382432,2998.982376749839,3041.017623250161,2,2
2023-01-09,Chen Xi,Xu Yuqi,B+R,2023-01-09|Chen Xi|Xu Yuqi|B+R,FALSE,FALSE,3000,3000,1,1,40,40,3020,3018.8499774443094,0.5016550094515791,0.49834499054842085,3039.933799621937,2998.9161778223724,2,2
