"Season","Page","FootballBoxes","ParsedRows","MissingDate","MissingHome","MissingAway","MissingScore"
"2019-20","2019–20 UEFA Champions League group stage",96,96,0,0,0,0
"2019-20","2019–20 UEFA Champions League knockout phase",22,22,0,0,0,0
"2019-20","2019–20 UEFA Champions League qualifying",91,91,0,0,0,0
"2019-20","2019–20 UEFA Champions League qualifying phase and play-off round",91,91,0,0,0,0
"2020-21","2020–21 UEFA Champions League",0,0,0,0,0,0
"2020-21","2020–21 UEFA Champions League group stage",96,96,0,0,0,0
"2020-21","2020–21 UEFA Champions League knockout phase",28,28,0,0,0,0
"2020-21","2020–21 UEFA Champions League qualifying",53,53,0,0,0,0
"2020-21","2020–21 UEFA Champions League qualifying phase and play-off round",53,53,0,0,0,0
"2021-22","2021–22 UEFA Champions League",0,0,0,0,0,0
"2021-22","2021–22 UEFA Champions League group stage",96,96,0,0,0,0
"2021-22","2021–22 UEFA Champions League knockout phase",28,28,0,0,0,0
"2021-22","2021–22 UEFA Champions League qualifying",93,93,0,0,0,0
"2021-22","2021–22 UEFA Champions League qualifying phase and play-off round",93,93,0,0,0,0
"2022-23","2022–23 UEFA Champions League",0,0,0,0,0,0
"2022-23","2022–23 UEFA Champions League group stage",96,96,0,0,0,0
"2022-23","2022–23 UEFA Champions League knockout phase",28,28,0,0,0,0
"2022-23","2022–23 UEFA Champions League qualifying",89,89,0,0,0,0
"2022-23","2022–23 UEFA Champions League qualifying phase and play-off round",89,89,0,0,0,0
"2023-24","2023–24 UEFA Champions League",0,0,0,0,0,0
"2023-24","2023–24 UEFA Champions League group stage",96,96,0,0,0,0
"2023-24","2023–24 UEFA Champions League knockout phase",28,28,0,0,0,0
"2023-24","2023–24 UEFA Champions League qualifying",89,89,0,0,0,0
"2023-24","2023–24 UEFA Champions League qualifying phase and play-off round",89,89,0,0,0,0
"2024-25","2024–25 UEFA Champions League",0,0,0,0,0,0
"2024-25","2024–25 UEFA Champions League knockout phase",44,44,0,0,0,0
"2024-25","2024–25 UEFA Champions League league phase",0,0,0,0,0,0
"2024-25","2024–25 UEFA Champions League qualifying",90,90,0,0,0,0
"2024-25","2024–25 UEFA Champions League qualifying phase and play-off round",90,90,0,0,0,0
"2025-26","2025–26 UEFA Champions League",0,0,0,0,0,0
"2025-26","2025–26 UEFA Champions League knockout phase",44,44,0,0,0,0
"2025-26","2025–26 UEFA Champions League league phase",0,0,0,0,0,0
"2025-26","2025–26 UEFA Champions League qualifying",92,92,0,0,0,0
