EntryCountry,EntryTier,EntryPeriod,CoverageEntry,Teams,MedianInitial,Teams20,MeanChange20,MedianChange20,Teams50,MeanChange50,MedianChange50,Teams100,MeanChange100,MedianChange100
England,5,2000-2009,FALSE,14,1950,14,11.8,19.5,10,42.3,33.3,9,61.3,70.1
England,5,2020-present,FALSE,6,1950,6,16,17.2,3,12.7,-7.3,1,74.9,74.9
France,1,Before 1990,FALSE,32,2689,32,-2.9,0.6,26,15.6,11.5,24,20.2,14.3
France,1,2010-2019,FALSE,4,2689,4,13.9,6.5,4,45.8,7,3,103.8,12.7
France,1,2000-2009,FALSE,4,2689,4,-20.5,-28.5,3,-42.5,-66.1,2,-5.5,-5.5
France,1,Before 1990,TRUE,18,2689,18,0,-0.9,16,9.6,-4.7,16,6.1,6.2
France,1,1990-1999,FALSE,5,2689,5,3.9,-6.3,3,12.5,4.2,3,0.3,4.9
France,2,2010-2019,FALSE,7,2495,7,26.9,5.8,6,63.7,39.3,5,44.1,-1.7
France,2,2020-present,FALSE,4,2495,4,2.6,3.2,3,48.4,54.3,3,49.6,53.8
France,2,2010-2019,TRUE,6,2495,6,41.4,31.1,6,73.2,92.5,5,86.1,81.1
Germany,1,Before 1990,FALSE,23,2685,23,-16.1,-18.4,20,-14.3,-20,17,-13.1,-19.5
Germany,1,Before 1990,TRUE,16,2685,16,0.6,6.6,16,-1.2,1.7,15,18.9,38.3
Germany,1,2010-2019,FALSE,2,2685,2,-22.6,-22.6,2,-35.5,-35.5,2,-14,-14
Germany,1,1990-1999,FALSE,8,2685,8,10.3,12.4,7,17.9,21.6,5,57.7,36.5
Germany,1,2000-2009,FALSE,3,2685,3,28.7,8.3,3,28.9,14.2,3,5.8,7.9
Germany,2,2010-2019,TRUE,8,2491,8,20.1,23.7,8,49.1,56.9,8,88.1,73.3
Germany,2,2020-present,FALSE,1,2491,1,43.6,43.6,1,105.5,105.5,0,,
Germany,2,2010-2019,FALSE,7,2491,7,39.5,47.1,7,58.1,44.9,5,104.3,65.7
Greece,1,Before 1990,TRUE,16,2450,16,0,-15.5,16,5.6,-1.6,15,20.4,4.9
Greece,1,2010-2019,FALSE,10,2450,10,3.3,13.3,9,26.8,22.3,7,38.4,13.4
Greece,1,1990-1999,FALSE,14,2450,14,-18.5,-12.7,11,-18.4,-30.2,9,-4.8,-3.9
Greece,1,2000-2009,FALSE,10,2450,10,10.1,7.3,9,7.2,-14.3,8,25.3,15.9
Greece,1,Before 1990,FALSE,6,2450,6,-34,-40.3,6,-26.2,-30.2,6,-3.2,-11.8
Greece,1,2020-present,FALSE,2,2450,2,-25.2,-25.2,0,,,0,,
Italy,1,Before 1990,TRUE,18,2675,18,0,-1.2,18,8.3,2.3,18,13.6,10.3
Italy,1,Before 1990,FALSE,36,2675,36,-8.4,-6.4,35,-5,-14.5,34,-3.5,-0.8
Italy,1,1990-1999,FALSE,5,2675,5,13.7,12.9,5,-1.8,11.8,4,34.1,30.9
Italy,1,2000-2009,FALSE,3,2675,3,10.4,1.1,2,59.4,59.4,2,56.1,56.1
Italy,1,2010-2019,FALSE,1,2675,1,-22.1,-22.1,1,22,22,1,75.3,75.3
Italy,2,2010-2019,FALSE,5,2479,5,62.6,65.5,5,96.5,105.1,5,110.1,136.6
Italy,2,2010-2019,TRUE,9,2479,9,46.9,59.3,9,62.7,75.5,9,115,114.5
Italy,2,2020-present,FALSE,4,2479,4,53.6,68.4,3,109.1,117.6,2,153.7,153.7
Netherlands,1,Before 1990,TRUE,18,2575,18,-0.7,6.1,17,17,10.9,17,23.6,25.6
Netherlands,1,Before 1990,FALSE,30,2575,30,-17.7,-18.7,27,-26.6,-22.8,21,-4.8,6.1
Netherlands,1,2020-present,FALSE,1,2575,1,18,18,1,-61.1,-61.1,0,,
Netherlands,1,1990-1999,FALSE,2,2575,2,-28.7,-28.7,2,-38.5,-38.5,2,-18.5,-18.5
Netherlands,1,2010-2019,FALSE,1,2575,1,8,8,1,-2,-2,1,-1.3,-1.3
Netherlands,1,2000-2009,FALSE,1,2575,1,-50.6,-50.6,1,-78,-78,1,13,13
Portugal,1,2020-present,FALSE,1,2550,1,-5.5,-5.5,1,-88.1,-88.1,0,,
Portugal,1,Before 1990,TRUE,8,2550,7,6.8,34.9,7,35.1,110.6,6,124.7,141.3
Portugal,1,Before 1990,FALSE,51,2550,51,-21.5,-23.3,45,-15.3,-13.4,38,7.6,2.8
Portugal,1,1990-1999,FALSE,6,2550,6,-4.7,-1,5,20.2,16.2,5,38.7,29.2
Portugal,1,2010-2019,FALSE,2,2550,2,-26.4,-26.4,2,-28,-28,2,65.4,65.4
Portugal,1,2000-2009,FALSE,3,2550,3,3.3,2,2,46.3,46.3,2,29.3,29.3
Scotland,1,Before 1990,TRUE,10,2430,7,15.1,6.2,7,38.2,36.6,6,75.5,74.4
Scotland,1,Before 1990,FALSE,32,2430,32,-14.2,-9.8,29,-13.4,-16.5,27,-3.5,-11.4
Scotland,1,2000-2009,FALSE,3,2430,3,39.4,31.9,2,71.6,71.6,2,95,95
Scotland,1,2010-2019,FALSE,1,2430,1,24.7,24.7,1,65.3,65.3,1,-9.9,-9.9
Spain,1,Before 1990,FALSE,38,2737,38,-4.5,-1.3,34,6.3,12.8,33,5.4,6.9
Spain,1,1990-1999,FALSE,7,2737,7,10.4,19.2,6,7.3,0.3,5,-4.2,2.5
Spain,1,2000-2009,FALSE,3,2737,3,-2.3,17.4,3,22.7,50.1,2,62.9,62.9
Spain,1,Before 1990,TRUE,10,2737,10,0,-3.2,10,3.5,1,8,43.8,35.3
Spain,1,2010-2019,FALSE,1,2737,1,1.1,1.1,1,-6.7,-6.7,1,46.9,46.9
Spain,2,2010-2019,TRUE,9,2552,9,37.4,43,8,80.4,86.9,7,109.5,112
Spain,2,2020-present,FALSE,9,2552,8,35.6,36.7,8,46.6,50.9,1,121.7,121.7
Spain,2,2010-2019,FALSE,12,2552,12,28.5,31.2,8,85.9,79.1,5,110.4,88.5
Switzerland,1,Before 1990,FALSE,24,2500,12,-16.1,0.6,11,-13.5,-9,10,31.4,42.4
Switzerland,1,Before 1990,TRUE,28,2500,26,7.9,14.5,25,24.9,24.7,21,35.3,22
Switzerland,1,1990-1999,FALSE,6,2500,4,-0.2,5.6,4,12.8,19.9,2,23.9,23.9
Switzerland,1,2020-present,FALSE,1,2500,1,-29.4,-29.4,0,,,0,,
Switzerland,1,2000-2009,FALSE,1,2500,1,-9.9,-9.9,1,-67.5,-67.5,1,-39.6,-39.6
Turkey,1,Before 1990,TRUE,16,2510,16,3.7,-17.3,16,11.5,-14.3,15,29.1,0.8
Turkey,1,Before 1990,FALSE,33,2510,33,0.5,0.6,31,2.8,9.1,28,28.2,21.2
Turkey,1,2000-2009,FALSE,9,2510,9,17.2,23.1,8,25,32.2,5,89.1,103.1
Turkey,1,2010-2019,FALSE,5,2510,5,11.1,3.8,4,88.1,93.9,4,48.3,52.5
Turkey,1,1990-1999,FALSE,8,2510,8,-2,6.8,7,31.1,34.4,5,-4.5,2.7
Turkey,1,2020-present,FALSE,4,2510,4,23.9,17.5,1,79.2,79.2,1,-39.4,-39.4
Ukraine,1,1990-1999,FALSE,7,2475,7,18.7,23,7,38.5,35.1,7,19.4,29.2
Ukraine,1,2000-2009,FALSE,8,2475,8,-0.7,-3.3,8,12.1,4.6,6,-27.3,-38
Ukraine,1,1990-1999,TRUE,20,2475,19,3,1.5,18,11.2,-10.2,16,21.9,-6.8
Ukraine,1,2010-2019,FALSE,5,2475,5,7.1,7.6,5,31.3,44.1,4,95.2,104.4
Ukraine,1,2020-present,FALSE,12,2475,12,12.2,3.7,7,18.2,18.3,0,,
