Year,ActiveTeams,TotalElo,MeanElo,MedianElo,P10,P25,P75,P90,P95,Top10Average
1913,56,145885,2605.1,2649.9,2376,2436.6,2757.9,2818.4,2846.9,2832.8
1914,54,141337,2617.4,2657.2,2390.3,2442.4,2781.7,2822.3,2843.5,2835.2
1915,40,104955,2623.9,2721.4,2393.7,2428.6,2800.9,2823.3,2826.6,2820.6
1917,18,44367,2464.8,2448.5,2365.9,2411.5,2496.2,2589.8,2652.9,2524.7
1918,18,44367,2464.8,2426.3,2368.5,2382.2,2512,2618.8,2708,2534.7
1919,56,146138,2609.6,2629.7,2395.7,2446.7,2780.1,2805.1,2828.4,2818.3
1920,58,151618,2614.1,2644.1,2374.6,2462.4,2777.7,2813.3,2847.5,2829.4
1921,61,159135,2608.8,2623.3,2394,2455.1,2762,2822.2,2845.4,2838
1922,63,164004,2603.2,2605.1,2387.1,2448.4,2768.8,2828.9,2841.7,2841.1
1923,60,157006,2616.8,2619.2,2423.3,2459.5,2767.2,2830.2,2856.1,2846
1924,68,178275,2621.7,2582.2,2452.5,2512.7,2752.6,2824.6,2851.5,2845.6
1925,88,227420,2584.3,2547.5,2417.8,2467.5,2703.7,2809.5,2825.7,2839.4
1926,60,156826,2613.8,2611.3,2393,2484.4,2770.1,2809.5,2830.3,2828.1
1927,60,157231,2620.5,2611.6,2415.6,2477.5,2775.4,2812.4,2828.4,2827.5
1928,60,157326,2622.1,2606.1,2412.5,2488.3,2767,2824.1,2833.7,2830.4
1929,88,233128,2649.2,2684.7,2432.9,2529.4,2761.1,2812.1,2834.7,2841.6
1930,122,319038,2615.1,2611.1,2425.7,2509.9,2738.8,2793.3,2821.4,2848.3
1931,126,329062,2611.6,2605.6,2414.7,2494,2735.8,2799.2,2831.6,2848.6
1932,111,292713,2637.1,2635.8,2446.5,2535.7,2740.9,2820.4,2834.7,2866.6
1933,125,327693,2621.5,2627.2,2439.8,2507.6,2742.6,2799.6,2828.8,2856.2
1934,76,203287,2674.8,2719.1,2428.4,2586.3,2784.6,2828.1,2861.4,2860.5
1935,84,224337,2670.7,2712.2,2430.8,2581.2,2783.7,2815.6,2877.6,2867.3
1936,113,299022,2646.2,2669.5,2438.9,2519.8,2757.6,2806,2856.6,2861.8
1937,103,270980,2630.9,2642.2,2436.4,2518.5,2754.4,2806.9,2838.5,2837.6
1938,100,263609,2636.1,2647.3,2446.1,2515.4,2756.5,2797.8,2831.6,2835.6
1939,107,284241,2656.5,2684.2,2466.6,2551,2765.6,2808.4,2854.6,2860.6
1940,52,139626,2685.1,2695.1,2506.1,2645.9,2764.6,2807.1,2852.5,2824.5
1941,70,185958,2656.5,2685.1,2490.8,2557.3,2746.8,2794.9,2835.1,2822.9
1942,76,201119,2646.3,2670.8,2475.6,2538.6,2746.2,2803.3,2824.5,2834.2
1943,78,206035,2641.5,2643.9,2479.3,2531.1,2738.3,2813.3,2863.7,2848.5
1944,57,150354,2637.8,2640.9,2470.9,2538.4,2742.8,2840.7,2859.3,2846.8
1945,64,167950,2624.2,2612.3,2462.8,2517.8,2720.4,2826.9,2861.5,2853.3
1946,126,333708,2648.5,2659,2475.4,2528.3,2757.3,2826,2868.1,2881.5
1947,152,403179,2652.5,2654.5,2466.4,2543.6,2761.6,2830,2872.3,2884.9
1948,151,401480,2658.8,2664.2,2482.7,2550,2756.5,2821.9,2871.8,2891.7
1949,144,383549,2663.5,2665.7,2481.5,2562.4,2762.7,2845.8,2867.1,2883.3
1950,128,340244,2658.2,2657,2476.9,2556.8,2764.9,2840.1,2872.5,2887.6
1951,133,353232,2655.9,2653.1,2467.6,2546.5,2767.2,2847.5,2877.9,2890.3
1952,145,382942,2641,2645.1,2465,2521.8,2750.2,2850.8,2875.7,2889.7
1953,161,426952,2651.9,2661.7,2482.9,2545.7,2755.5,2829.1,2868.2,2888.7
1954,147,391494,2663.2,2671,2468.8,2560.4,2774.9,2834,2855.2,2879.3
1955,143,378600,2647.5,2652.8,2458.5,2537.4,2770.7,2820.4,2842.9,2872.3
1956,149,393740,2642.5,2653.2,2438.3,2529.8,2754.3,2822,2852.5,2896.3
1957,166,437556,2635.9,2615.3,2465,2529.4,2745.4,2816.8,2849.6,2893.8
1958,164,432800,2639,2628.6,2471.3,2536.2,2745.1,2808.3,2851.2,2892.7
1959,185,485474,2624.2,2605.9,2453.2,2513.5,2729.6,2817.1,2852,2890.1
1960,195,510687,2618.9,2596.7,2459,2507.5,2742.9,2796.3,2849.4,2925.1
1961,190,498440,2623.4,2596.8,2453.7,2514.7,2737.8,2816.8,2849.4,2900.5
1962,194,509011,2623.8,2608.2,2454.7,2519.5,2730.1,2812.2,2845.4,2892.7
1963,208,547359,2631.5,2624,2456.9,2524.1,2738.4,2816.9,2862.4,2895
1964,221,584529,2644.9,2653.2,2477,2535.8,2732.8,2808.4,2859.8,2914.9
1965,211,560310,2655.5,2673.1,2482.6,2545.7,2744.7,2813,2876.3,2920.8
1966,213,565780,2656.2,2666.9,2482.2,2553.5,2751.3,2822.3,2865.4,2919
1967,216,573942,2657.1,2669.3,2480.5,2553.1,2755.2,2822.4,2854.3,2913.8
1968,223,592148,2655.4,2666.5,2496.2,2550.4,2747.7,2821.2,2858.2,2926.2
1969,194,516998,2664.9,2675.1,2476.2,2553.1,2758.6,2840.6,2861.9,2918.7
1970,205,542812,2647.9,2647,2493.8,2537.8,2742.3,2837,2872.1,2914.2
1971,227,603219,2657.4,2655.6,2479.6,2552.1,2756.9,2833.1,2887.4,2919.7
1972,217,578299,2665,2671.9,2480.6,2563.5,2762.4,2830.8,2897.2,2932.6
1973,233,619788,2660,2669.8,2476.3,2546.9,2764.9,2828.8,2869,2921.1
1974,240,637705,2657.1,2663.8,2494.7,2541.9,2769.2,2818.3,2864.3,2898.1
1975,228,608040,2666.8,2678,2506.1,2565.7,2763.4,2825.3,2868.7,2907.9
1976,202,541519,2680.8,2696,2518.2,2577.2,2771.6,2830.3,2856.4,2902.6
1977,217,580560,2675.4,2688.4,2526.6,2572.7,2764.2,2822.6,2859.3,2906.1
1978,219,585781,2674.8,2682.4,2518.4,2580.3,2767.4,2830.8,2858.8,2917.6
1979,220,589138,2677.9,2682.9,2524.7,2583,2768.5,2833.4,2862.8,2913.7
1980,202,541878,2682.6,2690.3,2519.6,2587.6,2768.3,2842.7,2886.7,2918
1981,225,601989,2675.5,2665.4,2519.9,2578.7,2769.2,2842.8,2887.8,2917.3
1982,236,629850,2668.9,2678.6,2488.8,2569.3,2766.6,2847.7,2878.1,2915.3
1983,237,632335,2668.1,2660.4,2498.2,2560.3,2768.9,2848.6,2882.5,2920.7
1984,233,621678,2668.1,2676.3,2495.4,2551.4,2784.5,2848.7,2883.9,2916.2
1985,233,622176,2670.3,2670,2497.8,2565.1,2769.6,2855.1,2892,2930.5
1986,212,568495,2681.6,2687.7,2512.1,2573.6,2781.3,2857.1,2885.4,2930
1987,243,646196,2659.2,2668.6,2475.4,2553.4,2757.7,2831.5,2886.7,2944.3
1988,256,679931,2656,2656.4,2480.4,2552.4,2754.6,2830.5,2874.8,2932.3
1989,236,628534,2663.3,2679.9,2500.5,2559.2,2762.8,2837.7,2871.7,2924
1990,237,631335,2663.9,2674.8,2497.4,2559.1,2770.3,2841.8,2870.7,2937.3
1991,250,665536,2662.1,2670.6,2467.6,2558.3,2766.4,2838.4,2873.3,2933.6
1992,284,749658,2639.6,2638.5,2437,2517.2,2756.2,2835.4,2865.6,2916.2
1993,297,783273,2637.3,2628.1,2445.4,2530.6,2756.2,2822.1,2864.6,2924.8
1994,292,770966,2640.3,2636.3,2454.6,2527.3,2760.7,2833.6,2868.5,2934.3
1995,289,763714,2642.6,2640.8,2464.8,2521,2761.8,2833.6,2884,2932.8
1996,290,767599,2646.9,2654.6,2454.2,2529.3,2763.3,2828.7,2877.3,2938.3
1997,285,755486,2650.8,2657,2466,2541.8,2764.5,2830.6,2878.2,2939.6
1998,352,925662,2629.7,2639.5,2416.9,2525.5,2749.1,2825.2,2863,2916.5
1999,354,930252,2627.8,2640.1,2414.2,2517.2,2750.6,2819.8,2865.1,2948.4
2000,358,940443,2626.9,2639.4,2411.4,2519,2751.5,2822.1,2866.6,2936.2
2001,354,930960,2629.8,2632.8,2423.4,2518.4,2744.3,2830.1,2870.3,2949.7
2002,358,940998,2628.5,2633.7,2432.8,2520.9,2750.4,2833.4,2878.2,2958
2003,358,941510,2629.9,2630.5,2430.9,2512.7,2734.3,2840.4,2880.8,2974.2
2004,359,944523,2631,2628.9,2428,2514.2,2744.2,2835.3,2873.5,2981.7
2005,378,983179,2601,2607.1,2378.9,2501.6,2738.9,2823.4,2875.9,3003
2006,378,980884,2594.9,2613.5,2352.6,2499.5,2730.1,2822.8,2884.5,3003.9
2007,379,982250,2591.7,2614.1,2339.7,2499.2,2740.9,2822.6,2872.8,3005.9
2008,380,983933,2589.3,2610.7,2350.5,2481.6,2737.3,2829.1,2862.5,3002.1
2009,379,982328,2591.9,2607.9,2337.7,2481.9,2743.4,2829.6,2879.8,3006.7
2010,378,979198,2590.5,2619,2329.5,2480.5,2736.2,2831.7,2879.8,3008.9
2011,379,982253,2591.7,2612.9,2334.3,2477.3,2744.6,2834.5,2865.9,3014.6
2012,418,1085295,2596.4,2617.9,2362.2,2492.6,2724.8,2819.5,2872.6,3015.1
2013,446,1160307,2601.6,2618.6,2370.4,2512.4,2720.4,2799.8,2867.9,3038.2
2014,477,1241511,2602.7,2624.5,2373.3,2507,2710.4,2807.5,2874,3046.2
2015,482,1253580,2600.8,2620.1,2375,2515.1,2713.9,2808.3,2876,3029.4
2016,471,1224678,2600.2,2615.1,2381.3,2515.6,2714.5,2814.1,2884.7,3042.2
2017,467,1213774,2599.1,2612.9,2372.6,2506.8,2718.2,2822.5,2887.4,3073.5
2018,491,1276858,2600.5,2609.1,2383.8,2513,2719.6,2821.2,2890.2,3070.7
2019,485,1262110,2602.3,2609.9,2361.7,2516,2715.6,2825.2,2900.7,3050.5
2020,482,1254242,2602.2,2613.3,2374.8,2517.4,2721.9,2829.7,2910.6,3049.4
2021,487,1268161,2604,2608.2,2386.6,2512.7,2715.1,2838.8,2910,3062
2022,388,1015425,2617.1,2633.4,2317.9,2530.4,2752.9,2865,2928.8,3064.7
2023,486,1265663,2604.2,2605.9,2371.3,2513.1,2729.7,2840.7,2923.4,3050.4
2024,499,1298415,2602,2610.7,2364.9,2502.2,2722.1,2853.9,2918.6,3067
2025,481,1253198,2605.4,2611,2375.5,2506.5,2719.2,2869.6,2928.2,3079.2
2026,286,764332,2672.5,2667.1,2434.1,2561,2800.4,2909.8,2951.3,3069.6
